mpn,active_ma,standby_ua,sleep_ua
STM32F302K6U6,12.00,1.50,350.00
STM32F302K8U6,12.00,1.50,350.00
STM32F302R6T6,12.00,1.50,350.00
STM32F302R8T6,12.00,1.50,350.00
STM32F302RBT6,12.00,1.50,350.00
STM32F302RCT6,12.00,1.50,350.00
STM32F302RDT6,12.00,1.50,350.00
STM32F302RET6,12.00,1.50,350.00
STM32F302VBT6,12.00,1.50,350.00
STM32F302VCT6,12.00,1.50,350.00
STM32F302VDT6,12.00,1.50,350.00
STM32F302VET6,12.00,1.50,350.00
STM32F303C6T6,12.00,1.50,350.00
STM32F303C8T6,12.00,1.50,350.00
STM32F303CBT6,12.00,1.50,350.00
STM32F303CCT6,12.00,1.50,350.00
STM32F303K6T6,12.00,1.50,350.00
STM32F303K8T6,12.00,1.50,350.00
STM32F303RBT6,12.00,1.50,350.00
STM32F303RCT6,12.00,1.50,350.00
STM32F303RDT6,12.00,1.50,350.00
STM32F303RET6,12.00,1.50,350.00
STM32F303VBT6,12.00,1.50,350.00
STM32F303VCT6,12.00,1.50,350.00
STM32F303VDT6,12.00,1.50,350.00
STM32F303VET6,12.00,1.50,350.00
STM32F303ZDT6,12.00,1.50,350.00
STM32F303ZET6,12.00,1.50,350.00
STM32F334C4T6,12.00,1.50,350.00
STM32F334C6T6,12.00,1.50,350.00
STM32F334C8T6,12.00,1.50,350.00
STM32F334K4T6,12.00,1.50,350.00
STM32F334K6T6,12.00,1.50,350.00
STM32F334K8T6,12.00,1.50,350.00
STM32F334R6T6,12.00,1.50,350.00
STM32F334R8T6,12.00,1.50,350.00
STM32F373C8T6,12.00,1.50,350.00
STM32F373CBT6,12.00,1.50,350.00
STM32F373CCT6,12.00,1.50,350.00
STM32F373R8T6,12.00,1.50,350.00
STM32F373RBT6,12.00,1.50,350.00
STM32F373RCT6,12.00,1.50,350.00
STM32F373V8T6,12.00,1.50,350.00
STM32F373VBT6,12.00,1.50,350.00
STM32F373VCT6,12.00,1.50,350.00
STM32F401CBU6,25.00,2.00,500.00
STM32F401CCU6,25.00,2.00,500.00
STM32F401CDU6,25.00,2.00,500.00
STM32F401CEU6,25.00,2.00,500.00
STM32F401RBT6,25.00,2.00,500.00
STM32F401RCT6,25.00,2.00,500.00
STM32F401RDT6,25.00,2.00,500.00
STM32F401RET6,25.00,2.00,500.00
STM32F401VBT6,25.00,2.00,500.00
STM32F401VCT6,25.00,2.00,500.00
STM32F401VDT6,25.00,2.00,500.00
STM32F401VET6,25.00,2.00,500.00
STM32F405RGT6,25.00,2.00,500.00
STM32F405OEY6,25.00,2.00,500.00
STM32F405OGY6,25.00,2.00,500.00
STM32F407IET6,25.00,2.00,500.00
STM32F407IGT6,25.00,2.00,500.00
STM32F407VET6,25.00,2.00,500.00
STM32F407VGT6,25.00,2.00,500.00
STM32F407ZET6,25.00,2.00,500.00
STM32F407ZGT6,25.00,2.00,500.00
STM32F410C8T6,25.00,2.00,500.00
STM32F410CBT6,25.00,2.00,500.00
STM32F410R8T6,25.00,2.00,500.00
STM32F410RBT6,25.00,2.00,500.00
STM32F410T8Y6,25.00,2.00,500.00
STM32F410TBY6,25.00,2.00,500.00
STM32F411CCU6,25.00,2.00,500.00
STM32F411CEU6,25.00,2.00,500.00
STM32F411RCT6,25.00,2.00,500.00
STM32F411RET6,25.00,2.00,500.00
STM32F411VCT6,25.00,2.00,500.00
STM32F411VET6,25.00,2.00,500.00
STM32F412CEU6,25.00,2.00,500.00
STM32F412CGU6,25.00,2.00,500.00
STM32F412RET6,25.00,2.00,500.00
STM32F412RGT6,25.00,2.00,500.00
STM32F412VEH6,25.00,2.00,500.00
STM32F412VGH6,25.00,2.00,500.00
STM32F412ZET6,25.00,2.00,500.00
STM32F412ZGT6,25.00,2.00,500.00
STM32F413CGU6,25.00,2.00,500.00
STM32F413CHU6,25.00,2.00,500.00
STM32F413MGY6,25.00,2.00,500.00
STM32F413RGT6,25.00,2.00,500.00
STM32F413VGT6,25.00,2.00,500.00
STM32F413ZGT6,25.00,2.00,500.00
STM32F415RGT6,25.00,2.00,500.00
STM32F415OGY6,25.00,2.00,500.00
STM32F417IET6,25.00,2.00,500.00
STM32F417IGT6,25.00,2.00,500.00
STM32F417VET6,25.00,2.00,500.00
STM32F417VGT6,25.00,2.00,500.00
STM32F417ZET6,25.00,2.00,500.00
STM32F417ZGT6,25.00,2.00,500.00
STM32F427IGT6,25.00,2.00,500.00
STM32F427IIT6,25.00,2.00,500.00
STM32F427VGT6,25.00,2.00,500.00
STM32F427VIT6,25.00,2.00,500.00
STM32F427ZGT6,25.00,2.00,500.00
STM32F427ZIT6,25.00,2.00,500.00
STM32F429BGT6,25.00,2.00,500.00
STM32F429BIT6,25.00,2.00,500.00
STM32F429IGT6,25.00,2.00,500.00
STM32F429IIT6,25.00,2.00,500.00
STM32F429NIH6,25.00,2.00,500.00
STM32F429NIT6,25.00,2.00,500.00
STM32F429VGT6,25.00,2.00,500.00
STM32F429VIT6,25.00,2.00,500.00
STM32F429ZGT6,25.00,2.00,500.00
STM32F429ZIT6,25.00,2.00,500.00
STM32F437IGT6,25.00,2.00,500.00
STM32F437IIT6,25.00,2.00,500.00
STM32F437VGT6,25.00,2.00,500.00
STM32F437ZGT6,25.00,2.00,500.00
STM32F437ZIT6,25.00,2.00,500.00
STM32F439BGT6,25.00,2.00,500.00
STM32F439BIT6,25.00,2.00,500.00
STM32F439IGT6,25.00,2.00,500.00
STM32F439IIT6,25.00,2.00,500.00
STM32F439VGT6,25.00,2.00,500.00
STM32F439VIT6,25.00,2.00,500.00
STM32F439ZGT6,25.00,2.00,500.00
STM32F439ZIT6,25.00,2.00,500.00
STM32F446MCY6,25.00,2.00,500.00
STM32F446MEY6,25.00,2.00,500.00
STM32F446RCT6,25.00,2.00,500.00
STM32F446RET6,25.00,2.00,500.00
STM32F446VCT6,25.00,2.00,500.00
STM32F446VET6,25.00,2.00,500.00
STM32F446ZCT6,25.00,2.00,500.00
STM32F446ZET6,25.00,2.00,500.00
STM32F469AGH6,25.00,2.00,500.00
STM32F469AIT6,25.00,2.00,500.00
STM32F469BGT6,25.00,2.00,500.00
STM32F469BIT6,25.00,2.00,500.00
STM32F469IGT6,25.00,2.00,500.00
STM32F469IIT6,25.00,2.00,500.00
STM32F469NIH6,25.00,2.00,500.00
STM32F469VGT6,25.00,2.00,500.00
STM32F469VIT6,25.00,2.00,500.00
STM32F469ZGT6,25.00,2.00,500.00
STM32F469ZIT6,25.00,2.00,500.00
STM32F479AGI6,25.00,2.00,500.00
STM32F479BGT6,25.00,2.00,500.00
STM32F479IGT6,25.00,2.00,500.00
STM32F479IIT6,25.00,2.00,500.00
STM32F479NGH6,25.00,2.00,500.00
STM32F479ZGT6,25.00,2.00,500.00
STM32F722ICK6,35.00,2.50,700.00
STM32F722IEK6,35.00,2.50,700.00
STM32F722RCT6,35.00,2.50,700.00
STM32F722RET6,35.00,2.50,700.00
STM32F722VCT6,35.00,2.50,700.00
STM32F722VET6,35.00,2.50,700.00
STM32F722ZCT6,35.00,2.50,700.00
STM32F722ZET6,35.00,2.50,700.00
STM32F732IEK6,35.00,2.50,700.00
STM32F732RET6,35.00,2.50,700.00
STM32F732VET6,35.00,2.50,700.00
STM32F732ZET6,35.00,2.50,700.00
STM32F745ICT6,35.00,2.50,700.00
STM32F745IGT6,35.00,2.50,700.00
STM32F745VCT6,35.00,2.50,700.00
STM32F745VGT6,35.00,2.50,700.00
STM32F745ZCT6,35.00,2.50,700.00
STM32F745ZGT6,35.00,2.50,700.00
STM32F746BET6,35.00,2.50,700.00
STM32F746BGT6,35.00,2.50,700.00
STM32F746IEK6,35.00,2.50,700.00
STM32F746IGT6,35.00,2.50,700.00
STM32F746NEH6,35.00,2.50,700.00
STM32F746VET6,35.00,2.50,700.00
STM32F746VGT6,35.00,2.50,700.00
STM32F746ZET6,35.00,2.50,700.00
STM32F746ZGT6,35.00,2.50,700.00
STM32F756BGT6,35.00,2.50,700.00
STM32F756IGT6,35.00,2.50,700.00
STM32F756NGH6,35.00,2.50,700.00
STM32F756ZGT6,35.00,2.50,700.00
STM32F765IGT6,35.00,2.50,700.00
STM32F765IIK6,35.00,2.50,700.00
STM32F765VGT6,35.00,2.50,700.00
STM32F765VIT6,35.00,2.50,700.00
STM32F765ZGT6,35.00,2.50,700.00
STM32F765ZIT6,35.00,2.50,700.00
STM32F767IGT6,35.00,2.50,700.00
STM32F767IIK6,35.00,2.50,700.00
STM32F767VGT6,35.00,2.50,700.00
STM32F767VIT6,35.00,2.50,700.00
STM32F767ZGT6,35.00,2.50,700.00
STM32F767ZIT6,35.00,2.50,700.00
STM32F769AGY6,35.00,2.50,700.00
STM32F769BGT6,35.00,2.50,700.00
STM32F769IGT6,35.00,2.50,700.00
STM32F769IIT6,35.00,2.50,700.00
STM32F769NGH6,35.00,2.50,700.00
STM32F777IGT6,35.00,2.50,700.00
STM32F777IIT6,35.00,2.50,700.00
STM32F777VIT6,35.00,2.50,700.00
STM32F777ZIT6,35.00,2.50,700.00
STM32F779AGY6,35.00,2.50,700.00
STM32F779IGT6,35.00,2.50,700.00
STM32F779IIT6,35.00,2.50,700.00
STM32F779NGH6,35.00,2.50,700.00
STM32H723VEH6,45.00,3.00,900.00
STM32H723VGT6,45.00,3.00,900.00
STM32H723ZEI6,45.00,3.00,900.00
STM32H723ZGT6,45.00,3.00,900.00
STM32H725AGI6,45.00,3.00,900.00
STM32H725IET6,45.00,3.00,900.00
STM32H725IGT6,45.00,3.00,900.00
STM32H725VET6,45.00,3.00,900.00
STM32H725VGT6,45.00,3.00,900.00
STM32H725ZET6,45.00,3.00,900.00
STM32H725ZGT6,45.00,3.00,900.00
STM32H730ABIxQ,45.00,3.00,900.00
STM32H730IBKxQ,45.00,3.00,900.00
STM32H730VBH6,45.00,3.00,900.00
STM32H730VBT6,45.00,3.00,900.00
STM32H730ZBT6,45.00,3.00,900.00
STM32H733VGT6,45.00,3.00,900.00
STM32H733ZGT6,45.00,3.00,900.00
STM32H735AGI6,45.00,3.00,900.00
STM32H735IGK6,45.00,3.00,900.00
STM32H735VGT6,45.00,3.00,900.00
STM32H735ZGT6,45.00,3.00,900.00
STM32H742IGT6,45.00,3.00,900.00
STM32H742IIT6,45.00,3.00,900.00
STM32H742VGT6,45.00,3.00,900.00
STM32H742VIT6,45.00,3.00,900.00
STM32H742ZIT6,45.00,3.00,900.00
STM32H743IGT6,45.00,3.00,900.00
STM32H743IIT6,45.00,3.00,900.00
STM32H743VGT6,45.00,3.00,900.00
STM32H743ZGT6,45.00,3.00,900.00
STM32H743ZIT6,45.00,3.00,900.00
STM32H745BGT6,45.00,3.00,900.00
STM32H745IGT6,45.00,3.00,900.00
STM32H745IIT6,45.00,3.00,900.00
STM32H745XGH6,45.00,3.00,900.00
STM32H745XIH6,45.00,3.00,900.00
STM32H747AGI6,45.00,3.00,900.00
STM32H747BGT6,45.00,3.00,900.00
STM32H747IGT6,45.00,3.00,900.00
STM32H747IIT6,45.00,3.00,900.00
STM32H747XGH6,45.00,3.00,900.00
STM32H747XIH6,45.00,3.00,900.00
STM32H750IBK6,45.00,3.00,900.00
STM32H750VBT6,45.00,3.00,900.00
STM32H750XBH6,45.00,3.00,900.00
STM32H750ZBT6,45.00,3.00,900.00
STM32H753IIT6,45.00,3.00,900.00
STM32H753VIT6,45.00,3.00,900.00
STM32H753ZIT6,45.00,3.00,900.00
STM32H755BIT6,45.00,3.00,900.00
STM32H755IIT6,45.00,3.00,900.00
STM32H755XIT6,45.00,3.00,900.00
STM32H757BIT6,45.00,3.00,900.00
STM32H757IIT6,45.00,3.00,900.00
STM32H757XIH6,45.00,3.00,900.00
STM32G030F6P6,6.00,0.40,100.00
STM32G030J6M6,6.00,0.40,100.00
STM32G031C8T6,6.00,0.40,100.00
STM32G031G8U6,6.00,0.40,100.00
STM32G070CBT6,6.00,0.40,100.00
STM32G070RBT6,6.00,0.40,100.00
STM32G071CBT6,6.00,0.40,100.00
STM32G071RBT6,6.00,0.40,100.00
STM32G0B1RET6,6.00,0.40,100.00
STM32G0B1VET6,6.00,0.40,100.00
STM32G431C6T6,15.00,1.50,400.00
STM32G431C8T6,15.00,1.50,400.00
STM32G431CBT6,15.00,1.50,400.00
STM32G431RBT6,15.00,1.50,400.00
STM32G474RET6,15.00,1.50,400.00
STM32G474VET6,15.00,1.50,400.00
STM32G484QET6,15.00,1.50,400.00
STM32L432KBU6,10.00,0.30,30.00
STM32L433CCT6,10.00,0.30,30.00
STM32L452RET6,10.00,0.30,30.00
STM32L476JGY6,10.00,0.30,30.00
STM32L476RGT6,10.00,0.30,30.00
STM32L476VGT6,10.00,0.30,30.00
STM32L496ZGT6,10.00,0.30,30.00
STM32L4R5ZIT6,10.00,0.30,30.00
STM32L4S9AII6,10.00,0.30,30.00
STM32U575CGT6,8.00,0.17,10.00
STM32U575RIT6,8.00,0.17,10.00
STM32U585AII6,8.00,0.17,10.00
STM32U599NJH6,8.00,0.17,10.00
STM32WB55CGU6,9.00,1.10,200.00
STM32WB55RGV6,9.00,1.10,200.00
STM32WB15CCU6,9.00,1.10,200.00
